
PublisherName                                                                      Location      Id
-------------                                                                      --------      --
innovatorartificialtechsrl1619180685551                                            southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
cloudentity                                                                        southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
cloudforttechnology1676310975446                                                   southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
imperva                                                                            southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
Microsoft.Azure.Extensions.Test710a5fbf-06c7-46ac-b96d-a29d2586422f-20200108083639 southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
miri-infotech-pvt-ltd                                                              southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
arcesb                                                                             southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
black-duck-software                                                                southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
Microsoft.Azure.Extensions.Test8d09bf4d-ee63-4ab1-a986-a4b802418403-20200111051447 southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
axxana                                                                             southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
solar-security                                                                     southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
netwrix                                                                            southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
blockstack                                                                         southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
rapidminer                                                                         southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
mathworks-deployment                                                               southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
cloudboltsoftware1639523402532                                                     southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
sapphiretechnologieslimited1611758579346                                           southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
Dans.Windows.App                                                                   southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
infotectsecuritypteltd1584534959776                                                southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
varnish                                                                            southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
pacbytelimited1655770796006                                                        southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
bmc.ctm                                                                            southeastasia /Subscriptions/bec0324e-4ff3-4e18-8d7b-2741bb57234f/Providers/Microsoft.Compute/Locations/southeastasia/Publishers…
